timestamp,topic,lane.cross_track_error.data,lane.cross_track_error.__msgtype__
1777518314.3433425,/lane/cross_track_error,0.26694193482398987,std_msgs/msg/Float32
1777518314.378544,/lane/cross_track_error,0.27270179986953735,std_msgs/msg/Float32
1777518314.41168,/lane/cross_track_error,0.22393092513084412,std_msgs/msg/Float32
1777518314.4453177,/lane/cross_track_error,0.2158934623003006,std_msgs/msg/Float32
1777518314.4781938,/lane/cross_track_error,0.21558430790901184,std_msgs/msg/Float32
1777518314.5121527,/lane/cross_track_error,0.21663816273212433,std_msgs/msg/Float32
1777518314.5465517,/lane/cross_track_error,0.19634653627872467,std_msgs/msg/Float32
1777518314.5805128,/lane/cross_track_error,0.19830922782421112,std_msgs/msg/Float32
1777518314.6137407,/lane/cross_track_error,0.17545001208782196,std_msgs/msg/Float32
1777518314.647131,/lane/cross_track_error,0.19899991154670715,std_msgs/msg/Float32
1777518314.6834044,/lane/cross_track_error,0.19031547009944916,std_msgs/msg/Float32
1777518314.715211,/lane/cross_track_error,0.1950659602880478,std_msgs/msg/Float32
1777518314.7535613,/lane/cross_track_error,0.19972962141036987,std_msgs/msg/Float32
1777518314.7854648,/lane/cross_track_error,0.20804263651371002,std_msgs/msg/Float32
1777518314.8148694,/lane/cross_track_error,0.21676473319530487,std_msgs/msg/Float32
1777518314.8467073,/lane/cross_track_error,0.22258563339710236,std_msgs/msg/Float32
1777518314.8894985,/lane/cross_track_error,0.232864648103714,std_msgs/msg/Float32
1777518314.9144301,/lane/cross_track_error,0.2399015873670578,std_msgs/msg/Float32
1777518314.9464688,/lane/cross_track_error,0.24046690762043,std_msgs/msg/Float32
1777518314.981362,/lane/cross_track_error,0.2591860592365265,std_msgs/msg/Float32
1777518315.0143778,/lane/cross_track_error,0.2600806653499603,std_msgs/msg/Float32
1777518315.0473664,/lane/cross_track_error,0.26826223731040955,std_msgs/msg/Float32
1777518315.086018,/lane/cross_track_error,0.28034502267837524,std_msgs/msg/Float32
1777518315.1147456,/lane/cross_track_error,0.28881871700286865,std_msgs/msg/Float32
1777518315.1542377,/lane/cross_track_error,0.30142346024513245,std_msgs/msg/Float32
1777518315.1923947,/lane/cross_track_error,0.29590094089508057,std_msgs/msg/Float32
1777518315.216069,/lane/cross_track_error,0.29506272077560425,std_msgs/msg/Float32
1777518315.247672,/lane/cross_track_error,0.3188866376876831,std_msgs/msg/Float32
1777518315.2810616,/lane/cross_track_error,0.28069111704826355,std_msgs/msg/Float32
1777518315.3137038,/lane/cross_track_error,0.2850942015647888,std_msgs/msg/Float32
1777518315.3480594,/lane/cross_track_error,0.282850444316864,std_msgs/msg/Float32
1777518315.3815773,/lane/cross_track_error,0.2775755822658539,std_msgs/msg/Float32
1777518315.4147215,/lane/cross_track_error,0.280059814453125,std_msgs/msg/Float32
1777518315.448236,/lane/cross_track_error,0.3125127851963043,std_msgs/msg/Float32
1777518315.4818273,/lane/cross_track_error,0.2583320140838623,std_msgs/msg/Float32
1777518315.5173697,/lane/cross_track_error,0.25597861409187317,std_msgs/msg/Float32
1777518315.562249,/lane/cross_track_error,0.2511020600795746,std_msgs/msg/Float32
1777518315.5983863,/lane/cross_track_error,0.2498732954263687,std_msgs/msg/Float32
1777518315.6265535,/lane/cross_track_error,0.2443145364522934,std_msgs/msg/Float32
1777518315.658935,/lane/cross_track_error,0.24040599167346954,std_msgs/msg/Float32
1777518315.6884882,/lane/cross_track_error,0.23743842542171478,std_msgs/msg/Float32
1777518315.7217395,/lane/cross_track_error,0.280760258436203,std_msgs/msg/Float32
1777518315.7517004,/lane/cross_track_error,0.22115394473075867,std_msgs/msg/Float32
1777518315.7868772,/lane/cross_track_error,0.27021294832229614,std_msgs/msg/Float32
1777518315.8239074,/lane/cross_track_error,0.26300832629203796,std_msgs/msg/Float32
1777518315.85482,/lane/cross_track_error,0.20759643614292145,std_msgs/msg/Float32
1777518315.888771,/lane/cross_track_error,0.2570072412490845,std_msgs/msg/Float32
1777518315.9211838,/lane/cross_track_error,0.20769979059696198,std_msgs/msg/Float32
1777518315.9565687,/lane/cross_track_error,0.2524288594722748,std_msgs/msg/Float32
1777518315.9924333,/lane/cross_track_error,0.19891604781150818,std_msgs/msg/Float32
1777518316.0244222,/lane/cross_track_error,0.20229241251945496,std_msgs/msg/Float32
1777518316.0619571,/lane/cross_track_error,0.25098949670791626,std_msgs/msg/Float32
1777518316.0914612,/lane/cross_track_error,0.1588721126317978,std_msgs/msg/Float32
1777518316.129971,/lane/cross_track_error,0.2502388656139374,std_msgs/msg/Float32
1777518316.1577759,/lane/cross_track_error,0.2003578394651413,std_msgs/msg/Float32
1777518316.1924863,/lane/cross_track_error,0.25221386551856995,std_msgs/msg/Float32
1777518316.2259238,/lane/cross_track_error,0.25547662377357483,std_msgs/msg/Float32
1777518316.2597282,/lane/cross_track_error,-0.05666537955403328,std_msgs/msg/Float32
1777518316.2947378,/lane/cross_track_error,-0.06387612968683243,std_msgs/msg/Float32
1777518316.3273094,/lane/cross_track_error,-0.043664999306201935,std_msgs/msg/Float32
1777518316.3623896,/lane/cross_track_error,-0.028112642467021942,std_msgs/msg/Float32
1777518316.3966475,/lane/cross_track_error,0.04840655252337456,std_msgs/msg/Float32
1777518316.4383557,/lane/cross_track_error,0.12609805166721344,std_msgs/msg/Float32
1777518316.4684954,/lane/cross_track_error,0.2585289478302002,std_msgs/msg/Float32
1777518316.494163,/lane/cross_track_error,0.16977587342262268,std_msgs/msg/Float32
1777518316.5298285,/lane/cross_track_error,0.06915796548128128,std_msgs/msg/Float32
1777518316.559392,/lane/cross_track_error,0.20562975108623505,std_msgs/msg/Float32
1777518316.593841,/lane/cross_track_error,0.24999485909938812,std_msgs/msg/Float32
1777518316.6258388,/lane/cross_track_error,0.1979542076587677,std_msgs/msg/Float32
1777518316.6612136,/lane/cross_track_error,0.23995836079120636,std_msgs/msg/Float32
1777518316.6936543,/lane/cross_track_error,0.2331148236989975,std_msgs/msg/Float32
1777518316.738193,/lane/cross_track_error,0.18911434710025787,std_msgs/msg/Float32
1777518316.7588086,/lane/cross_track_error,0.18569239974021912,std_msgs/msg/Float32
1777518316.7928987,/lane/cross_track_error,0.18437559902668,std_msgs/msg/Float32
1777518316.827356,/lane/cross_track_error,0.23028859496116638,std_msgs/msg/Float32
1777518316.8602147,/lane/cross_track_error,0.23528261482715607,std_msgs/msg/Float32
1777518316.8958507,/lane/cross_track_error,0.1851968914270401,std_msgs/msg/Float32
1777518316.9300504,/lane/cross_track_error,0.19091416895389557,std_msgs/msg/Float32
1777518316.9702253,/lane/cross_track_error,0.24416515231132507,std_msgs/msg/Float32
1777518316.996911,/lane/cross_track_error,0.19783397018909454,std_msgs/msg/Float32
1777518317.0269136,/lane/cross_track_error,0.20181436836719513,std_msgs/msg/Float32
1777518317.0625026,/lane/cross_track_error,0.26194867491722107,std_msgs/msg/Float32
1777518317.093859,/lane/cross_track_error,0.26288625597953796,std_msgs/msg/Float32
1777518317.1323547,/lane/cross_track_error,0.2129576951265335,std_msgs/msg/Float32
1777518317.1614523,/lane/cross_track_error,0.2720264494419098,std_msgs/msg/Float32
1777518317.2093692,/lane/cross_track_error,0.220065176486969,std_msgs/msg/Float32
1777518317.2400813,/lane/cross_track_error,0.2266329824924469,std_msgs/msg/Float32
1777518317.2649457,/lane/cross_track_error,0.2261590212583542,std_msgs/msg/Float32
1777518317.300929,/lane/cross_track_error,0.2296777367591858,std_msgs/msg/Float32
1777518317.3318083,/lane/cross_track_error,0.23599348962306976,std_msgs/msg/Float32
1777518317.366709,/lane/cross_track_error,0.2473919689655304,std_msgs/msg/Float32
1777518317.4009006,/lane/cross_track_error,0.29955819249153137,std_msgs/msg/Float32
1777518317.4469237,/lane/cross_track_error,0.25863856077194214,std_msgs/msg/Float32
1777518317.4762359,/lane/cross_track_error,0.2709578573703766,std_msgs/msg/Float32
1777518317.5011594,/lane/cross_track_error,0.1356310248374939,std_msgs/msg/Float32
1777518317.531456,/lane/cross_track_error,0.299917995929718,std_msgs/msg/Float32
1777518317.5785718,/lane/cross_track_error,0.3126198351383209,std_msgs/msg/Float32
1777518317.6104405,/lane/cross_track_error,0.3034847378730774,std_msgs/msg/Float32
